id,nome,sobrenome,documento_tipo,documento_numero,email,telefone,endereco,cidade,estado,pais,moeda_preferida,data_cadastro,status
dde6deab-0d47-42f6-8b9b-fdaf1362c864,JOÃO,NASCIMENTO,CPF,854.204.792-79,joão.nascimento65@hotmail.com,+526339587039,"Curitiba, PR",Curitiba,PR,Brasil,BRL,2022-09-25 01:01:05,active
0b16c0ac-38b4-4a1d-a502-74ceac188141,Carlos,Rodrigues,CPF,489.199.467-54,carlos.rodrigues11@yahoo.com.br,+521816150444,"Av. Paulista, nº 2473, Salvador/BA",Salvador,BA,Brasil,BRL,2018-06-27 23:29:34,Ativo
632d0e85-738a-4e7d-9b80-eb1162901fae,GABRIEL,FERNANDES,cpf,314.786.373-99,gabriel.fernandes49@yahoo.com.br,+5545985899313,"Belo Horizonte, MG",Belo Horizonte,MG,Brasil,BRL,02/12/2019 17:46,bloqueado
9c7a8bd3-d39d-400a-a7c6-dcb5abff66de,Bruno Araújo,,cpf,758.569.246-43,bruno.araújo52@uol.com.br,(28) 98348-9085,Rua Voluntários da Pátria 572 Curitiba PR,Curitiba,PR,Brasil,BRL,2024-04-18T17:16:47Z,bloqueado
7f5df058-f102-4d56-9f53-b3b5dc151a65,LETÍCIA,MARTINS,Cpf,981.111.796-24,letícia.martins1@yahoo.com.br,,"Rua Augusta, nº 2200, Fortaleza/CE",Fortaleza,CE,Brasil,BRL,2021-10-25 03:18:27,active
1810cdd3-afb6-49a5-80d1-1b295f66377b,Gustavo,Barbosa,cpf,600.119.214-56,gustavo.barbosa94@gmail.com,+529473791320,Rua da Consolação 1260 São Paulo SP,São Paulo,SP,Brasil,BRL,2018-08-26T07:56:36Z,bloqueado
8eb994d5-0215-4b82-a862-31d107db4880,DANIELA,LÓPEZ,CEDULA,68800797,daniela.lópez29@uol.com.br,,Av. El Dorado 496 Barranquilla ATL,Barranquilla,ATL,colombia,cop,2020-07-09 02:21:01,inativo
05bb989a-e278-43a5-8f6a-8fcfa3f9d738,Carlos Correia,,CPF,903.584.926-62,carlos.correia60@yahoo.com.br,(94) 91612-1993,"Rua Voluntários da Pátria, 780, Campinas - SP",Campinas,SP,Brasil,BRL,2019-02-02 21:27:22,suspended
f277514b-906a-4510-a55d-1996d5ee24b3,David Rodríguez,,CEDULA,11980765,david.rodríguez22@gmail.com,82988834863,Carrera 15 969 Bogotá DC,Bogotá,DC,CO,COP,2022-07-23 15:30:13,Ativo
aa5bdb42-386c-4ad2-be20-89821babb846,DAVID,GÓMEZ,CEDULA,16729990,david.gómez77@gmail.com,+5519990625494,"Cali, VAC",Cali,VAC,colombia,cop,2019-10-07T01:32:05Z,ATIVO
44a320a4-729f-463e-8ba0-6b14786836af,Diego,Araújo,Cpf,833.421.344-43,diego.araújo59@gmail.com,+523777898694,Av. Brasil 1622 Porto Alegre RS,Porto Alegre,RS,Brasil,BRL,2021-05-13 14:20:59,Ativo
f254f645-7774-4859-be97-b3f81cbf6ed2,Rodrigo,Rocha,Cpf,926.769.641-11,rodrigo.rocha71@live.com,+525337326368,"Rua Augusta, nº 2272, Manaus/AM",Manaus,AM,Brasil,BRL,2019-03-01T04:16:07Z,suspended
1851ba66-3c89-42e5-9ea3-973aa7113413,Catalina González,,CEDULA,10475894,catalina.gonzález2@uol.com.br,(99) 92442-9938,"Calle 80, nº 536, Cali/VAC",Cali,VAC,Colombia,cop,24/10/2019 23:28,active
7d203836-ee85-4d3c-b8cd-f9128713a769,  Juliana , Souza  ,cpf,735.867.258-40,juliana.souza86@yahoo.com.br,39926786211,Av. Presidente Vargas 666 Salvador BA,Salvador,BA,Brasil,BRL,16/08/2022 00:11,inativo
ef349a63-d5f9-48d3-9692-c6cd49d927c6,  Andrés , Martínez  ,CEDULA,47393469,andrés.martínez15@gmail.com,+522390070438,"Av. El Dorado, nº 1144, Barranquilla/ATL",Barranquilla,ATL,Colombia,COP,18/09/2023 12:43,ATIVO
59fd2eb3-b9b6-4371-a27d-7d10941d6e29,  Rafael , Santos  ,CPF,632.925.651-97,rafael.santos41@uol.com.br,+529564813568,"Av. Atlântica, nº 808, Manaus/AM",Manaus,AM,Brasil,BRL,2022-11-02T02:42:58Z,active
d800fcc6-7a85-498a-bdf8-02458ed9db45,BRUNO,LIMA,CPF,411.393.315-65,bruno.lima61@uol.com.br,+5532988429450,"Brasília, DF",Brasília,DF,Brasil,BRL,2021-08-12 14:28:28,inativo
92e5516b-e50b-4692-90bb-e3851395b233,Catalina,Díaz,CEDULA,36096655,catalina.díaz55@gmail.com,(77) 97611-1822,Carrera 15 2025,Barranquilla,ATL,colombia,cop,26/09/2020 04:41,INATIVO
4b126fce-634d-40f2-932a-c7b88d167f1a,DAVID,GONZÁLEZ,CEDULA,73709724,david.gonzález57@outlook.com,(47) 93841-5451,Carrera 7 1062 Barranquilla ATL,Barranquilla,ATL,colombia,cop,2021-02-09 16:31:40,Ativo
ccfcb1c2-95ad-4254-8abf-daf81f9d3892,Lucas Oliveira,,cpf,655.577.525-17,lucas.oliveira1@yahoo.com.br,(60) 96865-9818,Av. Atlântica 848,Brasília,DF,Brasil,BRL,15/05/2022 18:44,bloqueado
dbca6eff-e4f6-4f49-bd18-97252d3a9801,Isabela Carvalho,,cpf,230.737.646-13,isabela.carvalho60@hotmail.com,52945298556,"Manaus, AM",Manaus,AM,Brasil,BRL,30/04/2024 21:01,bloqueado
e911618e-ac06-454c-83e1-3e23e3bd41fe,JOÃO,ROCHA,CPF,765.170.899-93,joão.rocha17@hotmail.com,,"Rua Oscar Freire, 165, São Paulo - SP",São Paulo,SP,Brasil,BRL,2020-10-09T06:53:01Z,ATIVO
d0ab0d7b-80f6-476c-bd29-fcf6b3895271,  Beatriz , Souza  ,cpf,689.793.484-60,beatriz.souza77@live.com,,"Rua das Flores, 813, Campinas - SP",Campinas,SP,Brasil,BRL,2020-09-21T03:44:49Z,INATIVO
1a0d5112-7f06-4160-8b90-9fcdc08ad9d0,  Rodrigo , Martins  ,cpf,280.851.634-93,rodrigo.martins32@outlook.com,+528291917334,"Manaus, AM",Manaus,AM,Brasil,BRL,2024-01-14 15:29:27,suspended
744a6938-6f30-4afa-a075-9e68e2822eac,Lucas Fernandes,,cpf,710.818.382-81,lucas.fernandes72@yahoo.com.br,48929742165,"Porto Alegre, RS",Porto Alegre,RS,Brasil,BRL,2020-02-22T02:15:46Z,Ativo
2846366b-3440-4482-a3fe-85c06d1f0ce3,AMANDA,ROCHA,cpf,863.663.438-55,amanda.rocha16@outlook.com,,"Rua Oscar Freire, nº 1859, Fortaleza/CE",Fortaleza,CE,Brasil,BRL,09/06/2021 08:14,ATIVO
4720d1de-d121-412e-aca2-860a94aafdb0,Camila Costa,,Cpf,646.229.380-15,camila.costa2@gmail.com,17933887075,"Porto Alegre, RS",Porto Alegre,RS,Brasil,BRL,2021-04-11 22:08:40,ATIVO
912375d5-eb60-4882-bf36-252c7f8472fd,André Santos,,Cpf,411.187.354-25,andré.santos76@outlook.com,+5565940987442,Rua XV de Novembro 2286,Belo Horizonte,MG,Brasil,BRL,2020-07-13 16:24:28,Ativo
09c4b041-7de6-4ca3-b9c6-b62a6d88ba8e,  Sebastián , García  ,RFC,SSLR976694TX6,sebastián.garcía16@yahoo.com.br,+5570992432795,"Av. Insurgentes, 293, Guadalajara - JAL",Guadalajara,JAL,mexico,MXN,2019-11-11T09:38:47Z,ativo
25cfb864-8485-4122-b1c2-2064eec33649,Santiago,Hernández,RFC,PATV5715429P3,santiago.hernández43@hotmail.com,+528014925405,"Blvd. Manuel Ávila Camacho, nº 1926, Guadalajara/JAL",Guadalajara,JAL,MX,MXN,31/07/2022 10:20,INATIVO
b94723e5-2797-4a19-ba90-ea015a49cca8,  Larissa , Santos  ,cpf,737.874.610-90,larissa.santos90@yahoo.com.br,,"Av. Presidente Vargas, 1811, Curitiba - PR",Curitiba,PR,Brasil,BRL,13/04/2020 08:35,ATIVO
f3790cdf-ebb3-4a33-87a9-7aa55c9ae2a5,VANESSA,LIMA,cpf,954.594.583-41,vanessa.lima36@gmail.com,86977835998,"Fortaleza, CE",Fortaleza,CE,Brasil,BRL,2019-08-16 12:12:58,suspended
a5c393b2-0dee-4717-a953-013dd4910d56,Patricia Rocha,,cpf,990.293.814-40,patricia.rocha49@live.com,+521426944487,Rua Voluntários da Pátria 2343,Brasília,DF,Brasil,BRL,2020-08-14 13:02:20,suspended
